id,question,choices,answer,A,B,C,D,answer_pred,correct
XHDH_003,Mục tiêu của giáo dục hòa nhập là gì?,"{'A': 'Tạo ra các trường chuyên biệt cho trẻ khuyết tật.', 'B': 'Đảm bảo mọi trẻ em, bao gồm cả trẻ khuyết tật và trẻ có hoàn cảnh khó khăn, đều được học tập trong môi trường giáo dục chung.', 'C': 'Miễn học cho tất cả trẻ em có hoàn cảnh đặc biệt.', 'D': 'Chỉ chấp nhận những học sinh có khả năng học tập tốt vào trường công lập.'}",B,Tạo ra các trường chuyên biệt cho trẻ khuyết tật.,"Đảm bảo mọi trẻ em, bao gồm cả trẻ khuyết tật và trẻ có hoàn cảnh khó khăn, đều được học tập trong môi trường giáo dục chung.",Miễn học cho tất cả trẻ em có hoàn cảnh đặc biệt.,Chỉ chấp nhận những học sinh có khả năng học tập tốt vào trường công lập.,C,0
XHDH_004,Công dân toàn cầu trong giáo dục được hiểu là người có những phẩm chất nào?,"{'A': 'Chỉ biết về văn hóa và lịch sử của đất nước mình.', 'B': 'Có kiến thức, kỹ năng và thái độ để sống và làm việc hiệu quả trong một thế giới kết nối, đa văn hóa.', 'C': 'Có khả năng nói được nhiều ngoại ngữ nhưng không hiểu biết về các vấn đề toàn cầu.', 'D': 'Chỉ quan tâm đến lợi ích kinh tế của bản thân.'}",B,Chỉ biết về văn hóa và lịch sử của đất nước mình.,"Có kiến thức, kỹ năng và thái độ để sống và làm việc hiệu quả trong một thế giới kết nối, đa văn hóa.",Có khả năng nói được nhiều ngoại ngữ nhưng không hiểu biết về các vấn đề toàn cầu.,Chỉ quan tâm đến lợi ích kinh tế của bản thân.,C,0
XHDH_005,Trí tuệ nhân tạo (AI) được ứng dụng trong giáo dục như thế nào?,"{'A': 'Thay thế hoàn toàn vai trò của giáo viên.', 'B': 'Cá nhân hóa lộ trình học tập, cung cấp tài nguyên học liệu thông minh, hỗ trợ đánh giá.', 'C': 'Làm cho quá trình học tập trở nên phức tạp và khó khăn hơn.', 'D': 'Chỉ được dùng để quản lý điểm số của học sinh.'}",B,Thay thế hoàn toàn vai trò của giáo viên.,"Cá nhân hóa lộ trình học tập, cung cấp tài nguyên học liệu thông minh, hỗ trợ đánh giá.",Làm cho quá trình học tập trở nên phức tạp và khó khăn hơn.,Chỉ được dùng để quản lý điểm số của học sinh.,B,1
GDH_011,Mục đích cuối cùng của quá trình giáo dục là gì?,"{'A': 'Giúp học sinh thi đỗ vào các trường đại học hàng đầu.', 'B': 'Hình thành và phát triển toàn diện nhân cách người học.', 'C': 'Truyền thụ hết khối lượng kiến thức trong sách giáo khoa.', 'D': 'Rèn luyện cho học sinh khả năng ghi nhớ máy móc.'}",B,Giúp học sinh thi đỗ vào các trường đại học hàng đầu.,Hình thành và phát triển toàn diện nhân cách người học.,Truyền thụ hết khối lượng kiến thức trong sách giáo khoa.,Rèn luyện cho học sinh khả năng ghi nhớ máy móc.,B,1
GDH_012,Đâu là một phương pháp giáo dục kỷ luật tích cực?,"{'A': 'Phạt học sinh đứng góc lớp.', 'B': 'Mắng nhiếc, sỉ nhục học sinh trước tập thể.', 'C': 'Trò chuyện, phân tích để học sinh hiểu ra lỗi sai và hướng dẫn cách sửa chữa.', 'D': 'Đuổi học sinh ra khỏi lớp.'}",C,Phạt học sinh đứng góc lớp.,"Mắng nhiếc, sỉ nhục học sinh trước tập thể.","Trò chuyện, phân tích để học sinh hiểu ra lỗi sai và hướng dẫn cách sửa chữa.",Đuổi học sinh ra khỏi lớp.,C,1
TLH_011,"Khi học sinh gặp một bài toán khó và nỗ lực tìm nhiều cách giải khác nhau, điều này thể hiện đặc điểm nào của tư duy?","{'A': 'Tính logic.', 'B': 'Tính trừu tượng.', 'C': 'Tính linh hoạt.', 'D': 'Tính khái quát.'}",C,Tính logic.,Tính trừu tượng.,Tính linh hoạt.,Tính khái quát.,B,0
TLH_012,Trí thông minh cảm xúc (EQ) bao gồm những năng lực nào?,"{'A': 'Khả năng tính toán nhanh và tư duy logic.', 'B': 'Năng lực nhận biết, thấu hiểu và quản lý cảm xúc của bản thân và người khác.', 'C': 'Khả năng ghi nhớ các sự kiện và con số.', 'D': 'Năng khiếu về âm nhạc và hội họa.'}",B,Khả năng tính toán nhanh và tư duy logic.,"Năng lực nhận biết, thấu hiểu và quản lý cảm xúc của bản thân và người khác.",Khả năng ghi nhớ các sự kiện và con số.,Năng khiếu về âm nhạc và hội họa.,B,1
PPDH_011,Kỹ thuật dạy học 'Các mảnh ghép' (Jigsaw) có ưu điểm nổi bật là gì?,"{'A': 'Mỗi học sinh chỉ cần học một phần nhỏ của bài học.', 'B': 'Thúc đẩy sự hợp tác, học hỏi lẫn nhau và trách nhiệm của mỗi cá nhân trong nhóm.', 'C': 'Chỉ phù hợp với các bài học lý thuyết dài.', 'D': 'Giáo viên không cần chuẩn bị bài giảng.'}",B,Mỗi học sinh chỉ cần học một phần nhỏ của bài học.,"Thúc đẩy sự hợp tác, học hỏi lẫn nhau và trách nhiệm của mỗi cá nhân trong nhóm.",Chỉ phù hợp với các bài học lý thuyết dài.,Giáo viên không cần chuẩn bị bài giảng.,C,0
PPDH_012,Nội dung dạy học được cấu trúc theo kiểu đồng tâm có đặc điểm gì?,"{'A': 'Các kiến thức được sắp xếp theo một đường thẳng, học xong phần trước mới đến phần sau.', 'B': 'Một chủ đề kiến thức được lặp lại ở các lớp học khác nhau nhưng ở mức độ sâu và rộng hơn.', 'C': 'Mỗi lớp học một chương trình hoàn toàn khác biệt, không liên quan.', 'D': 'Học sinh tự lựa chọn nội dung học tập.'}",B,"Các kiến thức được sắp xếp theo một đường thẳng, học xong phần trước mới đến phần sau.",Một chủ đề kiến thức được lặp lại ở các lớp học khác nhau nhưng ở mức độ sâu và rộng hơn.,"Mỗi lớp học một chương trình hoàn toàn khác biệt, không liên quan.",Học sinh tự lựa chọn nội dung học tập.,A,0
QLGD_011,Hệ thống giáo dục mở là một hệ thống:,"{'A': 'Chỉ dành cho người lớn tuổi.', 'B': 'Không có quy chế, quy định.', 'C': 'Tạo cơ hội học tập cho mọi người, mọi lúc, mọi nơi, với nhiều hình thức linh hoạt.', 'D': 'Chỉ đào tạo từ xa qua mạng internet.'}",C,Chỉ dành cho người lớn tuổi.,"Không có quy chế, quy định.","Tạo cơ hội học tập cho mọi người, mọi lúc, mọi nơi, với nhiều hình thức linh hoạt.",Chỉ đào tạo từ xa qua mạng internet.,C,1
QLGD_012,Công tác chủ nhiệm lớp bao gồm những nhiệm vụ chính nào?,"{'A': 'Chỉ dạy môn học chuyên môn của mình.', 'B': 'Chỉ quản lý sổ điểm và học bạ của lớp.', 'C': 'Xây dựng tập thể lớp, giáo dục học sinh và phối hợp với các lực lượng giáo dục khác.', 'D': 'Chỉ tổ chức các hoạt động văn nghệ, thể thao.'}",C,Chỉ dạy môn học chuyên môn của mình.,Chỉ quản lý sổ điểm và học bạ của lớp.,"Xây dựng tập thể lớp, giáo dục học sinh và phối hợp với các lực lượng giáo dục khác.","Chỉ tổ chức các hoạt động văn nghệ, thể thao.",D,0
LSGD_011,Alexandre de Rhodes là người có công lớn trong việc:,"{'A': 'Sáng tạo ra chữ Nôm.', 'B': 'Hệ thống hóa và latinh hóa chữ Quốc ngữ.', 'C': 'Mở trường đại học đầu tiên ở Việt Nam.', 'D': 'Dịch các bộ kinh của Nho giáo ra tiếng Việt.'}",B,Sáng tạo ra chữ Nôm.,Hệ thống hóa và latinh hóa chữ Quốc ngữ.,Mở trường đại học đầu tiên ở Việt Nam.,Dịch các bộ kinh của Nho giáo ra tiếng Việt.,D,0
LSGD_012,Mục tiêu của Chương trình giáo dục phổ thông 2018 là chuyển từ giáo dục theo định hướng nội dung sang giáo dục theo định hướng:,"{'A': 'Thi cử.', 'B': 'Phát triển phẩm chất và năng lực người học.', 'C': 'Yêu cầu của giáo viên.', 'D': 'Thành tích.'}",B,Thi cử.,Phát triển phẩm chất và năng lực người học.,Yêu cầu của giáo viên.,Thành tích.,B,1
KTĐG_011,Đánh giá bằng portfolio (hồ sơ học tập) là hình thức thu thập:,"{'A': 'Chỉ các bài kiểm tra đạt điểm 10 của học sinh.', 'B': 'Các sản phẩm, bằng chứng có lựa chọn về quá trình học tập và sự tiến bộ của học sinh.', 'C': 'Nhận xét của phụ huynh về học sinh.', 'D': 'Điểm thi cuối kỳ của tất cả các môn.'}",B,Chỉ các bài kiểm tra đạt điểm 10 của học sinh.,"Các sản phẩm, bằng chứng có lựa chọn về quá trình học tập và sự tiến bộ của học sinh.",Nhận xét của phụ huynh về học sinh.,Điểm thi cuối kỳ của tất cả các môn.,B,1
KTĐG_012,Thang đo nhận thức của Bloom (bản điều chỉnh) sắp xếp các cấp độ tư duy theo thứ tự từ thấp đến cao như thế nào?,"{'A': 'Nhớ, Hiểu, Vận dụng, Phân tích, Đánh giá, Sáng tạo.', 'B': 'Nhớ, Vận dụng, Hiểu, Phân tích, Sáng tạo, Đánh giá.', 'C': 'Hiểu, Nhớ, Vận dụng, Đánh giá, Phân tích, Sáng tạo.', 'D': 'Sáng tạo, Đánh giá, Phân tích, Vận dụng, Hiểu, Nhớ.'}",A,"Nhớ, Hiểu, Vận dụng, Phân tích, Đánh giá, Sáng tạo.","Nhớ, Vận dụng, Hiểu, Phân tích, Sáng tạo, Đánh giá.","Hiểu, Nhớ, Vận dụng, Đánh giá, Phân tích, Sáng tạo.","Sáng tạo, Đánh giá, Phân tích, Vận dụng, Hiểu, Nhớ.",A,1
XHDH_006,Gamification (Trò chơi hóa) trong giáo dục là gì?,"{'A': 'Chỉ cho học sinh chơi game trong giờ học.', 'B': 'Bắt buộc học sinh phải tham gia các trò chơi điện tử.', 'C': 'Ứng dụng các cơ chế, thành phần của trò chơi vào môi trường học tập để tăng động lực, sự tham gia.', 'D': 'Biến tất cả các bài học thành các trò chơi may rủi.'}",C,Chỉ cho học sinh chơi game trong giờ học.,Bắt buộc học sinh phải tham gia các trò chơi điện tử.,"Ứng dụng các cơ chế, thành phần của trò chơi vào môi trường học tập để tăng động lực, sự tham gia.",Biến tất cả các bài học thành các trò chơi may rủi.,A,0
XHDH_007,Học tập kết hợp (Blended Learning) là sự kết hợp giữa hình thức học tập nào?,"{'A': 'Học ở trường và học ở trung tâm gia sư.', 'B': 'Học lý thuyết và học thực hành.', 'C': 'Học trực tiếp trên lớp và học trực tuyến (online).', 'D': 'Học các môn tự nhiên và các môn xã hội.'}",C,Học ở trường và học ở trung tâm gia sư.,Học lý thuyết và học thực hành.,Học trực tiếp trên lớp và học trực tuyến (online).,Học các môn tự nhiên và các môn xã hội.,A,0
GDH_013,Câu nói 'Hiền tài là nguyên khí của quốc gia' của Thân Nhân Trung nhấn mạnh vai trò của yếu tố nào?,"{'A': 'Quân đội hùng mạnh.', 'B': 'Kinh tế phát triển.', 'C': 'Người có tài có đức đối với đất nước.', 'D': 'Tài nguyên thiên nhiên phong phú.'}",C,Quân đội hùng mạnh.,Kinh tế phát triển.,Người có tài có đức đối với đất nước.,Tài nguyên thiên nhiên phong phú.,D,0
TLH_013,Hiện tượng 'bắt chước' hành vi của người khác là cơ sở của lý thuyết học tập nào?,"{'A': 'Thuyết học tập kiến tạo (Constructivism).', 'B': 'Thuyết học tập xã hội (Social Learning Theory) của Albert Bandura.', 'C': 'Thuyết học tập qua trải nghiệm (Experiential Learning).', 'D': 'Thuyết hành vi (Behaviorism).'}",B,Thuyết học tập kiến tạo (Constructivism).,Thuyết học tập xã hội (Social Learning Theory) của Albert Bandura.,Thuyết học tập qua trải nghiệm (Experiential Learning).,Thuyết hành vi (Behaviorism).,A,0
PPDH_013,Phương pháp 'Bàn tay nặn bột' được áp dụng chủ yếu trong việc giảng dạy lĩnh vực nào?,"{'A': 'Lịch sử.', 'B': 'Ngữ văn.', 'C': 'Khoa học tự nhiên.', 'D': 'Giáo dục công dân.'}",C,Lịch sử.,Ngữ văn.,Khoa học tự nhiên.,Giáo dục công dân.,D,0
QLGD_013,Tầm nhìn (Vision) của một nhà trường là:,"{'A': 'Kế hoạch hoạt động chi tiết cho một năm học.', 'B': 'Bảng nội quy dành cho học sinh.', 'C': 'Bức tranh lý tưởng về tương lai mà nhà trường mong muốn đạt tới.', 'D': 'Danh sách cán bộ, giáo viên, nhân viên của trường.'}",C,Kế hoạch hoạt động chi tiết cho một năm học.,Bảng nội quy dành cho học sinh.,Bức tranh lý tưởng về tương lai mà nhà trường mong muốn đạt tới.,"Danh sách cán bộ, giáo viên, nhân viên của trường.",D,0
LSGD_013,Hệ thống trường phổ thông ở Việt Nam hiện nay gồm mấy cấp học?,"{'A': '2 cấp (Tiểu học và Trung học).', 'B': '3 cấp (Tiểu học, Trung học cơ sở, và Trung học phổ thông).', 'C': '4 cấp (Mầm non, Tiểu học, Trung học cơ sở, Trung học phổ thông).', 'D': '1 cấp duy nhất kéo dài 12 năm.'}",B,2 cấp (Tiểu học và Trung học).,"3 cấp (Tiểu học, Trung học cơ sở, và Trung học phổ thông).","4 cấp (Mầm non, Tiểu học, Trung học cơ sở, Trung học phổ thông).",1 cấp duy nhất kéo dài 12 năm.,B,1
KTĐG_013,Một phương án nhiễu tốt trong câu hỏi trắc nghiệm khách quan là phương án:,"{'A': 'Hoàn toàn sai và không liên quan đến câu hỏi.', 'B': 'Có vẻ hợp lý đối với những học sinh không nắm vững kiến thức.', 'C': 'Đúng trong một trường hợp khác.', 'D': 'Là một đáp án đúng khác ngoài đáp án chính.'}",B,Hoàn toàn sai và không liên quan đến câu hỏi.,Có vẻ hợp lý đối với những học sinh không nắm vững kiến thức.,Đúng trong một trường hợp khác.,Là một đáp án đúng khác ngoài đáp án chính.,D,0
XHDH_008,Microlearning (Học tập vi mô) là hình thức học tập:,"{'A': 'Yêu cầu người học phải học trong thời gian dài liên tục.', 'B': 'Cung cấp các nội dung học tập theo từng đơn vị nhỏ, ngắn gọn, tập trung vào một mục tiêu cụ thể.', 'C': 'Chỉ học qua kính hiển vi.', 'D': 'Dành cho các học sinh có năng lực học tập yếu.'}",B,Yêu cầu người học phải học trong thời gian dài liên tục.,"Cung cấp các nội dung học tập theo từng đơn vị nhỏ, ngắn gọn, tập trung vào một mục tiêu cụ thể.",Chỉ học qua kính hiển vi.,Dành cho các học sinh có năng lực học tập yếu.,B,1
GDH_014,Giáo dục thẩm mỹ nhằm mục đích chính là gì?,"{'A': 'Dạy học sinh trở thành họa sĩ hoặc nhạc sĩ.', 'B': 'Bồi dưỡng năng lực cảm thụ, đánh giá và sáng tạo cái đẹp.', 'C': 'Dạy các quy tắc ứng xử trong xã hội.', 'D': 'Rèn luyện sức khỏe và thể chất.'}",B,Dạy học sinh trở thành họa sĩ hoặc nhạc sĩ.,"Bồi dưỡng năng lực cảm thụ, đánh giá và sáng tạo cái đẹp.",Dạy các quy tắc ứng xử trong xã hội.,Rèn luyện sức khỏe và thể chất.,B,1
